Model	Tumor Type	Treatment	Volume (mm3)	body weight (g)	Days Post T0	% TVol Difference	% BW Difference
X-2374	CRC	LFW527 + binimetinib	281.74	26.29	104	27	-4.1
X-2374	CRC	LFW527 + binimetinib	290.48	29.66	107	31	8.2
X-2374	CRC	LFW527 + binimetinib	255.74	26.7	111	15.3	-2.6
X-2374	CRC	LFW527 + binimetinib	262.69	26.15	117	18.5	-4.6
X-2374	CRC	LFW527 + binimetinib	266.74	25.8	120	20.3	-5.9
X-2374	CRC	LFW527 + binimetinib	267.31	25.35	124	20.5	-7.5
X-2374	CRC	LFW527 + binimetinib	270.77	25.5	127	22.1	-7
X-2374	CRC	LFW527 + binimetinib	333.07	24.69	131	50.2	-10
X-2374	CRC	LFW527 + binimetinib	295.41	25.84	134	33.2	-5.8
X-2374	CRC	LFW527 + binimetinib	324.86	24.4	139	46.5	-11
X-2374	CRC	LFW527 + binimetinib	358.76	25.72	142	61.8	-6.2
X-2374	CRC	LFW527 + binimetinib	314.38	26.62	146	41.8	-2.9
X-2374	CRC	LFW527 + binimetinib	406.64	26.65	149	83.4	-2.8
X-2374	CRC	LFW527 + binimetinib	396.83	28.5	152	78.9	3.9
X-2374	CRC	LFW527 + binimetinib	403.4	26.59	155	81.9	-3
X-2403	CRC	5FU	235.4	25	0	0	0
X-2403	CRC	5FU	248.5	23.1	3	5.6	-7.6
X-2403	CRC	5FU	267.7	22.9	7	13.7	-8.4
X-2403	CRC	5FU	303.2	22.7	10	28.8	-9.2
X-2403	CRC	5FU	355.9	23.3	14	51.2	-6.8
X-2403	CRC	5FU	270.7	22.3	17	15	-10.8
X-2403	CRC	5FU	309.2	21.9	21	31.4	-12.4
X-2403	CRC	5FU	340.6	20	23	44.7	-20
X-2403	CRC	5FU	298.2	21.2	27	26.7	-15.2
X-2403	CRC	5FU	333.2	21.1	30	41.5	-15.6
X-2403	CRC	5FU	408.1	23.9	34	73.4	-4.4
X-2403	CRC	5FU	443.5	23.5	37	88.4	-6
X-2403	CRC	5FU	452.7	22.4	42	92.3	-10.4
X-2403	CRC	BKM120	215	21.3	0	0	0
X-2403	CRC	BKM120	226.6	19.6	4	5.4	-7.9
X-2403	CRC	BKM120	195.6	19.7	7	-9	-7.3
X-2403	CRC	BKM120	355	18.6	11	65.1	-12.5
X-2403	CRC	BKM120	317.4	18.4	14	47.6	-13.6
X-2403	CRC	BKM120	292.9	19.5	18	36.2	-8.5
X-2403	CRC	BKM120	346.3	18.3	21	61.1	-14.1
X-2403	CRC	BKM120	355.8	19.4	25	65.5	-8.9
X-2403	CRC	BKM120	418.8	20	27	94.8	-6.1
X-2403	CRC	BKM120 + LJC049	243.9	25.1	0	0	0
X-2403	CRC	BKM120 + LJC049	230.3	24.8	3	-5.6	-1.2
X-2403	CRC	BKM120 + LJC049	320.2	23.4	7	31.3	-6.8
X-2403	CRC	BKM120 + LJC049	435.3	22.6	10	78.5	-10
X-2403	CRC	BKM120 + LJC049	575.8	22.1	14	136.1	-12
X-2403	CRC	BKM120 + LJC049	506.6	21.7	17	107.7	-13.5
X-2403	CRC	BKM120 + LJC049	827.8	21.9	21	239.4	-12.7
X-2403	CRC	BKM120 + LJC049	929	23.2	24	280.9	-7.6
X-2403	CRC	BKM120 + LJC049	1025.5	24	28	320.5	-4.4
X-2403	CRC	BYL719 + cetuximab + encorafenib	245	24.8	0	0	0
X-2403	CRC	BYL719 + cetuximab + encorafenib	220.5	25.2	3	-10	1.6
X-2403	CRC	BYL719 + cetuximab + encorafenib	230.1	25.7	7	-6.1	3.6
X-2403	CRC	BYL719 + cetuximab + encorafenib	255.2	23.5	11	4.2	-5.2
X-2403	CRC	BYL719 + cetuximab + encorafenib	15	NA	15	-93.9	-7.3
X-2403	CRC	BYL719 + cetuximab	190	26.8	0	0	0
X-2403	CRC	BYL719 + cetuximab	149.1	27.4	4	-21.5	2.2
X-2403	CRC	BYL719 + cetuximab	140.4	25.3	8	-26.1	-5.6
X-2403	CRC	BYL719 + cetuximab	182.5	24.8	11	-3.9	-7.5
X-2403	CRC	BYL719 + cetuximab	166.8	24.9	13	-12.2	-7.1
X-2403	CRC	BYL719 + cetuximab	161.7	24.2	15	-14.9	-9.7
X-2403	CRC	BYL719 + cetuximab	274.9	26.5	21	44.7	-1.1
X-2403	CRC	BYL719 + cetuximab	340.9	25.1	25	79.4	-6.3
X-2403	CRC	BYL719 + cetuximab	357.9	23.2	34	88.4	-13.4
X-2403	CRC	BYL719 + cetuximab	390.1	23.4	40	105.3	-12.7
X-2403	CRC	BYL719 + cetuximab	443.5	23.1	43	133.4	-13.8
X-2403	CRC	BYL719 + cetuximab	474.4	23.9	46	149.7	-10.8
X-2403	CRC	BYL719 + cetuximab	508.5	24.8	51	167.6	-7.5
X-2403	CRC	BYL719 + cetuximab	529	23.5	54	178.4	-12.3
X-2403	CRC	BYL719 + cetuximab	596.1	25.1	59	213.7	-6.3
X-2403	CRC	BYL719 + cetuximab	709.9	23.5	61	273.6	-12.3
X-2403	CRC	BYL719 + cetuximab	761	24.2	65	300.5	-9.7
X-2403	CRC	BYL719 + cetuximab	779.6	23.6	67	310.3	-11.9
X-2403	CRC	BYL719	212.3	23.4	0	0	0
X-2403	CRC	BYL719	248.5	22.3	3	17.1	-4.7
X-2403	CRC	BYL719	277.6	20.6	7	30.8	-12
X-2403	CRC	BYL719	250.7	20.3	10	18.1	-13.2
X-2403	CRC	BYL719	344.9	20	14	62.5	-14.5
X-2403	CRC	BYL719	348.8	20.1	17	64.3	-14.1
X-2403	CRC	BYL719	380.8	21.1	21	79.4	-9.8
X-2403	CRC	BYL719	497.4	20.1	24	134.3	-14.1
X-2403	CRC	BYL719	416.8	20.1	28	96.3	-14.1
X-2403	CRC	BYL719	413.8	20.5	30	94.9	-12.4
X-2403	CRC	BYL719	374.6	19.3	34	76.4	-17.5
X-2403	CRC	BYL719	487.7	20.1	37	129.7	-14.1
X-2403	CRC	BYL719 + LJM716	258.8	24.1	0	0	0
X-2403	CRC	BYL719 + LJM716	325.4	23.3	4	25.7	-3.3
X-2403	CRC	BYL719 + LJM716	402.2	22.3	7	55.4	-7.5
X-2403	CRC	BYL719 + LJM716	473.3	22.2	11	82.9	-7.9
X-2403	CRC	BYL719 + LJM716	611.1	22.2	14	136.1	-7.9
X-2403	CRC	BYL719 + LJM716	623.6	21.6	18	141	-10.4
X-2403	CRC	BYL719 + LJM716	619.9	22.6	20	139.5	-6.2
X-2403	CRC	BYL719 + LJM716	682.8	22.3	24	163.8	-7.5
X-2403	CRC	BYL719 + LJM716	793.7	21.5	27	206.7	-10.8
X-2403	CRC	BYL719 + binimetinib	231.4	25.7	0	0	0
X-2403	CRC	BYL719 + binimetinib	207.7	25	3	-10.2	-2.7
X-2403	CRC	BYL719 + binimetinib	228.9	24.9	7	-1.1	-3.1
X-2403	CRC	BYL719 + binimetinib	279.1	24.8	10	20.6	-3.5
X-2403	CRC	BYL719 + binimetinib	361.9	24.9	14	56.4	-3.1
X-2403	CRC	BYL719 + binimetinib	484.7	24.7	17	109.5	-3.9
X-2403	CRC	BYL719 + binimetinib	542.9	24.9	21	134.6	-3.1
X-2403	CRC	BYL719 + binimetinib	639	25.6	24	176.1	-0.4
X-2403	CRC	BYL719 + binimetinib	623.1	25.5	28	169.3	-0.8
X-2403	CRC	BYL719 + encorafenib	210.4	23.6	0	0	0
X-2403	CRC	BYL719 + encorafenib	201.8	21.8	3	-4.1	-7.6
X-2403	CRC	BYL719 + encorafenib	239.3	20.7	7	13.7	-12.3
X-2403	CRC	BYL719 + encorafenib	384.6	21.1	10	82.8	-10.6
X-2403	CRC	BYL719 + encorafenib	365.4	21.2	14	73.7	-10.2
X-2403	CRC	BYL719 + encorafenib	502.1	22.1	17	138.6	-6.4
X-2403	CRC	BYL719 + encorafenib	568	21.5	21	170	-8.9
X-2403	CRC	BYL719 + encorafenib	554.2	21	24	163.4	-11
X-2403	CRC	BYL719 + encorafenib	638.2	21.6	28	203.3	-8.5
X-2403	CRC	CGM097	209.2	23.2	0	0	0
X-2403	CRC	CGM097	195.1	21.5	3	-6.7	-7.3
X-2403	CRC	CGM097	227.7	21.6	7	8.8	-6.9
X-2403	CRC	CGM097	235.4	21.8	9	12.5	-6
X-2403	CRC	CGM097	287.7	22.5	13	37.5	-3
X-2403	CRC	CGM097	286.3	20.8	16	36.9	-10.3
X-2403	CRC	CGM097	312.2	19.5	20	49.2	-15.9
X-2403	CRC	CGM097	328.1	21.9	23	56.8	-5.6
X-2403	CRC	CGM097	384.9	19.3	28	84	-16.8
X-2403	CRC	CKX620	212.7	25	0	0	0
X-2403	CRC	CKX620	160.6	23.3	3	-24.5	-6.8
X-2403	CRC	CKX620	168.6	23.9	7	-20.7	-4.4
X-2403	CRC	CKX620	176.1	24	10	-17.2	-4
X-2403	CRC	CKX620	216.9	25.1	14	2	0.4
X-2403	CRC	CKX620	217.6	25.3	16	2.3	1.2
X-2403	CRC	CKX620	275.8	25.9	20	29.7	3.6
X-2403	CRC	CKX620	300.1	23.5	23	41.1	-6
X-2403	CRC	CKX620	261.1	23.9	27	22.8	-4.4
X-2403	CRC	CKX620	253	24.4	30	18.9	-2.4
X-2403	CRC	CKX620	306.5	23.8	35	44.1	-4.8
X-2403	CRC	CKX620	340	24.3	38	59.8	-2.8
X-2403	CRC	CKX620	390.7	26.3	41	83.7	5.2
X-2403	CRC	CLR457	219.7	23.1	0	0	0
X-2403	CRC	CLR457	329.2	25	4	49.8	8.2
X-2403	CRC	CLR457	183.9	21	7	-16.3	-9.1
X-2403	CRC	CLR457	189.2	20.5	11	-13.9	-11.3
X-2403	CRC	CLR457	235.1	20.4	14	7	-11.7
X-2403	CRC	CLR457	305.4	20.5	18	39	-11.3
X-2403	CRC	CLR457	278.9	20.4	21	26.9	-11.7
X-2403	CRC	CLR457	349.7	20.7	25	59.2	-10.4
X-2403	CRC	CLR457	326.6	20.7	28	48.7	-10.4
X-2403	CRC	CLR457	351.1	21.1	32	59.8	-8.7
X-2403	CRC	CLR457	338.7	20.8	34	54.2	-10
X-2403	CRC	CLR457	327.5	20.5	38	49.1	-11.3
X-2403	CRC	CLR457	419.3	19.7	41	90.9	-14.7
X-2403	CRC	HDM201	217	25.4	0	0	0
X-2403	CRC	HDM201	256.8	24.1	3	18.3	-5
X-2403	CRC	HDM201	196.9	22.9	7	-9.3	-9.7
X-2403	CRC	HDM201	220.9	23.2	10	1.8	-8.6
X-2403	CRC	HDM201	232	22.1	14	6.9	-12.9
X-2403	CRC	HDM201	214.3	21.4	16	-1.2	-15.6
X-2403	CRC	HDM201	247.3	21.3	20	14	-16
X-2403	CRC	HDM201	341.2	24.4	23	57.2	-3.8
X-2403	CRC	HDM201	275.1	21.9	27	26.8	-13.7
X-2403	CRC	HDM201	392.4	23.7	30	80.8	-6.6
X-2403	CRC	HDM201	428.3	21.1	35	97.4	-16.8
X-2403	CRC	cetuximab	251.3	28.1	0	0	0
X-2403	CRC	cetuximab	310.3	26.8	8	23.5	-4.6
X-2403	CRC	cetuximab	329.6	27.4	12	31.2	-2.5
X-2403	CRC	cetuximab	354.1	28.1	16	40.9	0
X-2403	CRC	cetuximab	383.3	27.2	19	52.5	-3.2
X-2403	CRC	cetuximab	434.1	27.8	21	72.7	-1.1
X-2403	CRC	cetuximab	486.8	27.7	23	93.7	-1.4
X-2403	CRC	cetuximab	542.4	28.4	29	115.8	1.1
X-2403	CRC	cetuximab	622.1	28.1	33	147.6	0
X-2403	CRC	cetuximab	870	25.7	42	246.2	-8.5
X-2403	CRC	cetuximab	927.5	25.5	48	269.1	-9.3
X-2403	CRC	cetuximab	1126.8	28.8	51	348.4	2.5
X-2403	CRC	cetuximab	1138.2	29.2	54	352.9	3.9
X-2403	CRC	cetuximab + encorafenib	205.5	25.7	0	0	0
X-2403	CRC	cetuximab + encorafenib	289.8	22.7	8	41	-11.7
X-2403	CRC	cetuximab + encorafenib	273.1	21.5	12	32.9	-16.3
X-2403	CRC	LEE011	226.2	27.4	0	0	0
X-2403	CRC	LEE011	220.1	26.8	3	-2.7	-2.2
X-2403	CRC	LEE011	249.3	26.6	7	10.2	-2.9
X-2403	CRC	LEE011	333.3	26.3	10	47.3	-4
X-2403	CRC	LEE011	335.5	25.9	14	48.3	-5.5
X-2403	CRC	LEE011	352.4	24.5	17	55.8	-10.5
X-2403	CRC	LEE011	491.3	25.6	21	117.2	-6.6
X-2403	CRC	LEE011	434.4	25.5	24	92	-6.9
X-2403	CRC	LEE011	563.3	25.8	28	149	-5.8
X-2403	CRC	encorafenib	205.7	25.7	0	0	0
X-2403	CRC	encorafenib	340.3	24.5	3	65.4	-4.7
X-2403	CRC	encorafenib	554.3	24.1	7	169.5	-6.2
X-2403	CRC	encorafenib	446.6	24.4	10	117.1	-5.1
X-2403	CRC	encorafenib	661.3	22.7	14	221.5	-11.7
X-2403	CRC	encorafenib	666	23	17	223.8	-10.5
X-2403	CRC	encorafenib	1178.6	23.1	21	473	-10.1
X-2403	CRC	encorafenib	1577.8	22.5	24	667	-12.5
X-2403	CRC	LJC049	251.1	22.5	0	0	0
X-2403	CRC	LJC049	399.4	22.4	3	59.1	-0.4
X-2403	CRC	LJC049	506.1	21.2	7	101.6	-5.8
X-2403	CRC	LJC049	811.4	21.7	10	223.1	-3.6
X-2403	CRC	LJC049	1018.1	20.8	14	305.5	-7.6
X-2403	CRC	LJC049	1058.4	20.8	17	321.5	-7.6
X-2403	CRC	LJC049	1159.7	20.5	21	361.8	-8.9
X-2403	CRC	LJC049	1442.4	20.6	24	474.4	-8.4
X-2403	CRC	LJC049	2066.9	20.7	28	723.1	-7.9
X-2403	CRC	LKA136	232.7	25.6	0	0	0
X-2403	CRC	LKA136	312.2	25	4	34.2	-2.3
X-2403	CRC	LKA136	389.1	24.8	7	67.2	-3.1
X-2403	CRC	LKA136	452.5	23.3	11	94.5	-9
X-2403	CRC	LKA136	547.2	24	14	135.2	-6.2
X-2403	CRC	LKA136	792.5	24.1	18	240.6	-5.9
X-2403	CRC	LKA136	989.4	23.6	21	325.2	-7.8
X-2403	CRC	LKA136	931.8	24.2	25	300.4	-5.5
X-2403	CRC	LKA136	1042.6	25.1	28	348	-2
X-2403	CRC	binimetinib	231.9	24.6	0	0	0
X-2403	CRC	binimetinib	310.9	24.1	3	34.1	-2
X-2403	CRC	binimetinib	488.8	24.7	7	110.8	0.4
X-2403	CRC	binimetinib	504.4	24.1	10	117.5	-2
X-2403	CRC	binimetinib	575	23.2	14	148	-5.7
X-2403	CRC	binimetinib	723.6	23.8	17	212	-3.3
X-2403	CRC	binimetinib	865.1	23.7	21	273	-3.7
X-2403	CRC	binimetinib	906.2	22.7	24	290.8	-7.7
X-2403	CRC	binimetinib	1112.1	22.3	28	379.6	-9.3
X-2403	CRC	untreated	223.6	23.4	0	0	0
X-2403	CRC	untreated	349.3	22.8	3	56.2	-2.6
X-2403	CRC	untreated	360.9	23	7	61.4	-1.7
X-2403	CRC	untreated	398.1	23.9	10	78	2.1
X-2403	CRC	untreated	486.2	23.2	14	117.4	-0.9
X-2403	CRC	untreated	562.1	23.5	17	151.4	0.4
X-2403	CRC	untreated	709.1	23.1	21	217.1	-1.3
X-2403	CRC	untreated	906.4	24.1	24	305.4	3
X-2403	CRC	untreated	990	23.3	28	342.8	-0.4
X-2428	PDAC	abraxane	218.2	26.1	0	0	0
X-2428	PDAC	abraxane	383.6	24.4	5	75.8	-6.5
X-2428	PDAC	abraxane	405.1	25	8	85.7	-4.2
X-2428	PDAC	abraxane	325.1	25.1	11	49	-3.8
X-2428	PDAC	abraxane	534.4	24.9	14	144.9	-4.6
X-2428	PDAC	abraxane	490.3	25.7	18	124.7	-1.5
X-2428	PDAC	abraxane	442.8	25.7	21	102.9	-1.5
X-2428	PDAC	abraxane	518.3	26.2	25	137.5	0.4
X-2428	PDAC	abraxane	611.7	26	28	180.3	-0.4
X-2428	PDAC	abraxane	625.4	26.3	32	186.6	0.8
X-2428	PDAC	abraxane	723.8	26.9	35	231.7	3.1
X-2428	PDAC	abraxane	899.1	26.9	39	312.1	3.1
X-2428	PDAC	abraxane	1038.3	26.7	42	375.8	2.3
X-2428	PDAC	BKM120 + binimetinib	235.5	23.8	0	0	0
X-2428	PDAC	BKM120 + binimetinib	200.2	24.3	4	-15	2.1
X-2428	PDAC	BKM120 + binimetinib	168.7	24.6	7	-28.4	3.4
X-2428	PDAC	BKM120 + binimetinib	141.4	26	11	-40	9.2
X-2428	PDAC	BKM120 + binimetinib	138.6	26.2	14	-41.1	10.1
X-2428	PDAC	BKM120 + binimetinib	126.5	25.6	18	-46.3	7.6
X-2428	PDAC	BKM120 + binimetinib	166.4	24.6	21	-29.3	3.4
X-2428	PDAC	BKM120 + binimetinib	139.8	26.3	24	-40.6	10.5
X-2428	PDAC	BKM120 + binimetinib	141.4	25.8	27	-40	8.4
X-2428	PDAC	BKM120 + binimetinib	117.1	26.6	32	-50.3	11.8
X-2428	PDAC	BKM120 + binimetinib	121.2	25.9	35	-48.5	8.8
X-2428	PDAC	BKM120 + binimetinib	102.3	26	39	-56.6	9.2
X-2428	PDAC	BKM120 + binimetinib	134.7	26.1	42	-42.8	9.7
X-2428	PDAC	BKM120 + binimetinib	131.9	26.1	45	-44	9.7
X-2428	PDAC	BKM120 + binimetinib	100.2	27.2	49	-57.5	14.3
X-2428	PDAC	BKM120 + binimetinib	128.8	27.2	52	-45.3	14.3
X-2428	PDAC	BKM120 + binimetinib	132.3	26.6	55	-43.8	11.8
X-2428	PDAC	BKM120 + binimetinib	118.1	25.8	59	-49.9	8.4
X-2428	PDAC	BKM120 + binimetinib	140.2	26.8	63	-40.5	12.6
X-2428	PDAC	BKM120 + binimetinib	152.1	27	67	-35.4	13.4
X-2428	PDAC	BKM120 + binimetinib	133.1	26	70	-43.5	9.2
X-2428	PDAC	BKM120 + binimetinib	99.1	26.5	73	-57.9	11.3
X-2428	PDAC	BKM120 + binimetinib	139.1	25.9	77	-40.9	8.8
X-2428	PDAC	BKM120 + binimetinib	143.2	25.1	81	-39.2	5.5
X-2428	PDAC	BKM120 + LDE225	218.1	26.7	0	0	0
X-2428	PDAC	BKM120 + LDE225	207.3	26.3	4	-5	-1.5
X-2428	PDAC	BKM120 + LDE225	159.1	25.3	7	-27.1	-5.2
X-2428	PDAC	BKM120 + LDE225	151.7	26.5	11	-30.4	-0.7
X-2428	PDAC	BKM120 + LDE225	127.5	24.9	14	-41.5	-6.7
X-2428	PDAC	BKM120 + LDE225	128.1	23.5	18	-41.3	-12
X-2428	PDAC	BKM120 + LDE225	130.4	22.8	21	-40.2	-14.6
X-2428	PDAC	BKM120 + LDE225	110.6	23	24	-49.3	-13.9
X-2428	PDAC	BKM120 + LDE225	89.3	24.1	27	-59.1	-9.7
X-2428	PDAC	BKM120 + LDE225	92.8	24.7	32	-57.5	-7.5
X-2428	PDAC	BKM120 + LDE225	122.4	24.5	35	-43.9	-8.2
X-2428	PDAC	BKM120 + LDE225	127.8	26	39	-41.4	-2.6
X-2428	PDAC	BKM120 + LDE225	154.5	25.3	42	-29.2	-5.2
X-2428	PDAC	BKM120 + LDE225	107.4	25.4	45	-50.8	-4.9
X-2428	PDAC	BKM120 + LDE225	80.5	24.3	49	-63.1	-9
X-2428	PDAC	BKM120 + LDE225	140.6	25	52	-35.5	-6.4
X-2428	PDAC	BKM120 + LDE225	114.7	25.3	55	-47.4	-5.2
X-2428	PDAC	BKM120 + LDE225	120	23.9	59	-45	-10.5
X-2428	PDAC	BKM120 + LDE225	117	26.1	63	-46.4	-2.2
X-2428	PDAC	BKM120 + LDE225	132.4	27	67	-39.3	1.1
X-2428	PDAC	BKM120 + LDE225	131.2	25.1	70	-39.8	-6
X-2428	PDAC	BKM120 + LDE225	142.7	25.4	73	-34.6	-4.9
X-2428	PDAC	BKM120 + LDE225	144	26.1	77	-34	-2.2
X-2428	PDAC	BKM120 + LDE225	134.5	24.6	81	-38.3	-7.9
X-2428	PDAC	BKM120	276	27.7	0	0	0
X-2428	PDAC	BKM120	248.4	28.3	5	-10	2.2
X-2428	PDAC	BKM120	197.8	41.8	8	-28.3	2.2
X-2428	PDAC	BKM120	236.8	28.4	12	-14.2	2.5
X-2428	PDAC	BKM120	273.8	28.3	15	-0.8	2.2
X-2428	PDAC	BKM120	302.9	28.2	19	9.7	1.8
X-2428	PDAC	BKM120	272.6	28.7	22	-1.2	3.6
X-2428	PDAC	BKM120	275.2	27.2	27	-0.3	-1.8
X-2428	PDAC	BKM120	255.4	29.9	30	-7.5	7.9
X-2428	PDAC	BKM120	204.4	30.6	35	-25.9	10.5
X-2428	PDAC	BKM120	229.9	30.7	37	-16.7	10.8
X-2428	PDAC	BKM120	261.8	31.3	40	-5.1	13
X-2428	PDAC	BKM120	206.6	29.5	43	-25.1	6.5
X-2428	PDAC	BKM120	226.5	31.4	48	-17.9	13.4
X-2428	PDAC	BKM120	313.9	30.4	51	13.7	9.7
X-2428	PDAC	BKM120	185	30.6	55	-33	10.5
X-2428	PDAC	BKM120	171.3	29.7	58	-37.9	7.2
X-2428	PDAC	BKM120	278.7	30.4	61	1	9.7
X-2428	PDAC	BKM120	210.2	29.7	64	-23.8	7.2
X-2428	PDAC	BKM120	264.5	30.2	68	-4.2	9
X-2428	PDAC	BKM120	305.8	29.7	71	10.8	7.2
X-2428	PDAC	BKM120	485	29.5	75	75.7	6.5
X-2428	PDAC	BKM120	580.1	29.1	78	110.2	5.1
X-2428	PDAC	BYL719	218.5	24.1	0	0	0
X-2428	PDAC	BYL719	214.4	25.4	5	-1.9	5.4
X-2428	PDAC	BYL719	214.5	25.6	10	-1.8	6.2
X-2428	PDAC	BYL719	247.6	24.9	13	13.3	3.3
X-2428	PDAC	BYL719	263.2	25.6	17	20.5	6.2
X-2428	PDAC	BYL719	328.4	24.8	20	50.3	2.9
X-2428	PDAC	BYL719	349.8	25.4	25	60.1	5.4
X-2428	PDAC	BYL719	369.2	26.1	27	69	8.3
X-2428	PDAC	BYL719	427.8	25	31	95.8	3.7
X-2428	PDAC	BYL719	455.6	25.8	34	108.5	7.1
X-2428	PDAC	BYL719	477.6	25.8	38	118.6	7.1
X-2428	PDAC	BYL719	578.6	26.5	41	164.8	10
X-2428	PDAC	BYL719	721.9	26.4	45	230.4	9.5
X-2428	PDAC	BYL719	784.2	26.6	48	258.9	10.4
X-2428	PDAC	BYL719	844.4	26.4	52	286.5	9.5
X-2428	PDAC	BYL719	957.6	26.6	55	338.3	10.4
X-2428	PDAC	BYL719 + LJM716	201.6	27.2	0	0	0
X-2428	PDAC	BYL719 + LJM716	221.6	29	3	9.9	6.6
X-2428	PDAC	BYL719 + LJM716	247	27.7	6	22.5	1.8
X-2428	PDAC	BYL719 + LJM716	267.7	26.6	10	32.8	-2.2
X-2428	PDAC	BYL719 + LJM716	258.6	27.6	13	28.3	1.5
X-2428	PDAC	BYL719 + LJM716	235.2	28.1	17	16.7	3.3
X-2428	PDAC	BYL719 + LJM716	231.9	27.9	20	15	2.6
X-2428	PDAC	BYL719 + LJM716	261.5	28.2	24	29.7	3.7
X-2428	PDAC	BYL719 + LJM716	263.1	27.2	27	30.5	0
X-2428	PDAC	BYL719 + LJM716	259.6	27.8	31	28.8	2.2
X-2428	PDAC	BYL719 + LJM716	267.1	27.1	34	32.5	-0.4
X-2428	PDAC	BYL719 + LJM716	286.2	27.8	38	42	2.2
X-2428	PDAC	BYL719 + LJM716	292.1	28.1	41	44.9	3.3
X-2428	PDAC	BYL719 + LJM716	267.8	25.5	46	32.8	-6.2
X-2428	PDAC	BYL719 + LJM716	269.9	25.3	49	33.9	-7
X-2428	PDAC	BYL719 + LJM716	269.5	26	52	33.7	-4.4
X-2428	PDAC	BYL719 + LJM716	264.2	26.8	55	31.1	-1.5
X-2428	PDAC	BYL719 + LJM716	263.1	26.1	59	30.5	-4
X-2428	PDAC	BYL719 + LJM716	253.3	25.8	62	25.6	-5.1
X-2428	PDAC	BYL719 + LJM716	252	26.8	66	25	-1.5
X-2428	PDAC	BYL719 + LJM716	259	27.3	70	28.5	0.4
X-2428	PDAC	BYL719 + LJM716	278	26	73	37.9	-4.4
X-2428	PDAC	BYL719 + LJM716	305.7	26.5	76	51.6	-2.6
X-2428	PDAC	BYL719 + LJM716	308.6	26.9	80	53.1	-1.1
X-2428	PDAC	BYL719 + LJM716	317.6	27.9	83	57.5	2.6
X-2428	PDAC	BYL719 + LJM716	328.4	26.5	87	62.9	-2.6
X-2428	PDAC	BYL719 + LJM716	339.8	27.3	90	68.6	0.4
X-2428	PDAC	BYL719 + LJM716	342.5	25.8	94	69.9	-5.1
X-2428	PDAC	BYL719 + LJM716	343	27.3	97	70.1	0.4
X-2428	PDAC	CLR457	204.6	27	0	0	0
X-2428	PDAC	CLR457	198.3	26.8	3	-3.1	-0.7
X-2428	PDAC	CLR457	198	27.5	7	-3.2	1.9
X-2428	PDAC	CLR457	205.1	27.2	10	0.2	0.7
X-2428	PDAC	CLR457	194.2	27.3	14	-5.1	1.1
X-2428	PDAC	CLR457	201.1	26.7	17	-1.7	-1.1
X-2428	PDAC	CLR457	214.9	27.1	21	5	0.4
X-2428	PDAC	CLR457	221.6	27.1	24	8.3	0.4
X-2428	PDAC	CLR457	210.4	26.9	29	2.8	-0.4
X-2428	PDAC	CLR457	212.8	27	32	4	0
X-2428	PDAC	CLR457	199.2	26	35	-2.6	-3.7
X-2428	PDAC	CLR457	205.7	26.6	38	0.5	-1.5
X-2428	PDAC	CLR457	205.5	26.2	42	0.4	-3
X-2428	PDAC	CLR457	213.3	26.5	45	4.3	-1.9
X-2428	PDAC	CLR457	224	26.9	49	9.5	-0.4
X-2428	PDAC	CLR457	264.9	26.2	53	29.5	-3
X-2428	PDAC	CLR457	275.5	26.5	56	34.7	-1.9
X-2428	PDAC	CLR457	280.7	26.2	59	37.2	-3
X-2428	PDAC	CLR457	295.1	27	63	44.2	0
X-2428	PDAC	CLR457	296.7	27.8	66	45	3
X-2428	PDAC	CLR457	323.3	26	70	58	-3.7
X-2428	PDAC	CLR457	333.3	26.3	73	62.9	-2.6
X-2428	PDAC	CLR457	344.2	26.8	77	68.2	-0.7
X-2428	PDAC	CLR457	368	26.6	80	79.9	-1.5
X-2428	PDAC	CLR457	383.4	26.3	85	87.4	-2.6
X-2428	PDAC	CLR457	414.6	25.8	88	102.6	-4.4
X-2428	PDAC	CLR457	411.5	26	91	101.1	-3.7
X-2428	PDAC	CLR457	430.1	24	94	110.2	-11.1
X-2428	PDAC	CLR457	438.6	23.6	98	114.4	-12.6
X-2428	PDAC	CLR457	483.3	23.6	101	136.2	-12.6
X-2428	PDAC	CLR457	521.8	24.1	105	155	-10.7
X-2428	PDAC	CLR457	546.2	24.3	108	167	-10
X-2428	PDAC	CLR457	584.1	24.1	113	185.5	-10.7
X-2428	PDAC	CLR457	635	24	116	210.4	-11.1
X-2428	PDAC	CLR457	699.4	24.1	119	241.8	-10.7
X-2428	PDAC	CLR457	788.8	24.3	122	285.5	-10
X-2428	PDAC	HDM201	247.5	26.1	0	0	0
X-2428	PDAC	HDM201	284.4	26.8	3	14.9	2.7
X-2428	PDAC	HDM201	431	27.8	6	74.1	6.5
X-2428	PDAC	HDM201	466.1	28.4	10	88.3	8.8
X-2428	PDAC	HDM201	493.9	27.2	13	99.6	4.2
X-2428	PDAC	HDM201	571.4	27.5	17	130.9	5.4
X-2428	PDAC	HDM201	793.4	28.1	20	220.6	7.7
X-2428	PDAC	HDM201	850.9	27.2	24	243.8	4.2
X-2428	PDAC	figitumumab" + binimetinib	248.7	27.2	0	0	0
X-2428	PDAC	figitumumab" + binimetinib	178.2	27	5	-28.3	-0.7
X-2428	PDAC	figitumumab" + binimetinib	147.5	27.6	8	-40.7	1.5
